시·군·구,중심 위도,중심 경도,매칭 EPW 파일명,기상지점 위도,기상지점 경도,기준년도,location name,WMO code,Station_num,기준연도_이전,기준연도_직후,기준연도_N년차
부산광역시 서구,35.0979321,129.0244125,KOR_PU_Busan-Daecheongdong.WS.471590_TMYx.2009-2023,35.1047,129.0319,'09-'23,Busan-Daecheongdong.WS,471590,159,2018,2023,2023
부산광역시 동구,35.1292746,129.0453253,KOR_PU_Busan-Daecheongdong.WS.471590_TMYx.2009-2023,35.1047,129.0319,'09-'23,Busan-Daecheongdong.WS,471590,159,2018,2023,2023
부산광역시 영도구,35.091199,129.067875,KOR_PU_Busan-Daecheongdong.WS.471590_TMYx.2009-2023,35.1047,129.0319,'09-'23,Busan-Daecheongdong.WS,471590,159,2018,2023,2023
부산광역시 부산진구,35.162913,129.053157,KOR_PU_Busan-Daecheongdong.WS.471590_TMYx.2009-2023,35.1047,129.0319,'09-'23,Busan-Daecheongdong.WS,471590,159,2018,2023,2023
부산광역시 동래구,35.1964382,129.0938569,KOR_PU_Busan-Daecheongdong.WS.471590_TMYx.2009-2023,35.1047,129.0319,'09-'23,Busan-Daecheongdong.WS,471590,159,2018,2023,2023
부산광역시 남구,35.136577,129.084163,KOR_PU_Busan-Daecheongdong.WS.471590_TMYx.2009-2023,35.1047,129.0319,'09-'23,Busan-Daecheongdong.WS,471590,159,2018,2023,2023
부산광역시 북구,35.197185,128.990438,KOR_PU_Busan-Gimhae.Intl.AP.471530_TMYx.2009-2023,35.18,128.938,'09-'23,Busan-Gimhae.Intl.AP,471530,253,2018,2023,2023
부산광역시 해운대구,35.163177,129.163634,KOR_PU_Busan-Daecheongdong.WS.471590_TMYx.2009-2023,35.1047,129.0319,'09-'23,Busan-Daecheongdong.WS,471590,159,2018,2023,2023
부산광역시 사하구,35.104585,128.974817,KOR_PU_Busan-Daecheongdong.WS.471590_TMYx.2009-2023,35.1047,129.0319,'09-'23,Busan-Daecheongdong.WS,471590,159,2018,2023,2023
부산광역시 금정구,35.243068,129.0921,KOR_PU_Busan-Gimhae.Intl.AP.471530_TMYx.2009-2023,35.18,128.938,'09-'23,Busan-Gimhae.Intl.AP,471530,257,2018,2023,2023
부산광역시 강서구,35.2122179,128.98045,KOR_PU_Busan-Gimhae.Intl.AP.471530_TMYx.2009-2023,35.18,128.938,'09-'23,Busan-Gimhae.Intl.AP,471530,253,2018,2023,2023
부산광역시 연제구,35.176242,129.079764,KOR_PU_Busan-Daecheongdong.WS.471590_TMYx.2009-2023,35.1047,129.0319,'09-'23,Busan-Daecheongdong.WS,471590,159,2018,2023,2023
부산광역시 수영구,35.145694,129.113186,KOR_PU_Busan-Daecheongdong.WS.471590_TMYx.2009-2023,35.1047,129.0319,'09-'23,Busan-Daecheongdong.WS,471590,159,2018,2023,2023
부산광역시 사상구,35.152624,128.99125,KOR_PU_Busan-Gimhae.Intl.AP.471530_TMYx.2009-2023,35.18,128.938,'09-'23,Busan-Gimhae.Intl.AP,471530,159,2018,2023,2023
부산광역시 기장군,35.244498,129.222312,KOR_PU_Busan-Daecheongdong.WS.471590_TMYx.2009-2023,35.1047,129.0319,'09-'23,Busan-Daecheongdong.WS,471590,257,2018,2023,2023
대구광역시 중구,35.8693404,128.6062,KOR_TG_Camp.Walker-Daegu.471425_TMYx.2009-2023,35.85,128.583,'09-'23,Camp.Walker-Daegu,471425,143,2018,2023,2023
대구광역시 동구,35.886664,128.635609,KOR_TG_Daegu.Intl.AP.471420_TMYx.2009-2023,35.8833,128.6667,'09-'23,Daegu.Intl.AP,471420,143,2018,2023,2023
대구광역시 서구,35.871757,128.559175,KOR_TG_Camp.Walker-Daegu.471425_TMYx.2009-2023,35.85,128.583,'09-'23,Camp.Walker-Daegu,471425,143,2018,2023,2023
대구광역시 남구,35.846,128.597486,KOR_TG_Camp.Walker-Daegu.471425_TMYx.2009-2023,35.85,128.583,'09-'23,Camp.Walker-Daegu,471425,143,2018,2023,2023
대구광역시 북구,35.885684,128.582947,KOR_TG_Camp.Walker-Daegu.471425_TMYx.2009-2023,35.85,128.583,'09-'23,Camp.Walker-Daegu,471425,143,2018,2023,2023
대구광역시 수성구,35.8581654,128.630625,KOR_TG_Daegu.471430_TMYx.2009-2023,35.8283,128.6522,'09-'23,Daegu,471430,143,2018,2023,2023
대구광역시 달서구,35.8298667,128.5327375,KOR_TG_Camp.Walker-Daegu.471425_TMYx.2009-2023,35.85,128.583,'09-'23,Camp.Walker-Daegu,471425,143,2018,2023,2023
대구광역시 달성군,35.7746,128.431445,KOR_TG_Camp.Walker-Daegu.471425_TMYx.2009-2023,35.85,128.583,'09-'23,Camp.Walker-Daegu,471425,143,2018,2023,2023
대구광역시 군위군,36.2429,128.5727,KOR_KB_Gumi.471540_TMYx.2009-2023,36.1306,128.3206,'09-'23,Gumi,471540,278,2018,2023,2023
인천광역시 강화군,37.746498,126.488052,KOR_IN_Pyoripsan.471084_TMYx.2009-2023,37.783,126.367,'09-'23,Pyoripsan,471084,201,2018,2023,2023
인천광역시 옹진군,37.446607,126.63676,KOR_IN_Incheon.WS.471120_TMYx.2009-2023,37.4778,126.625,'09-'23,Incheon.WS,471120,112,2018,2023,2023
인천광역시 중구,37.473781,126.621588,KOR_IN_Incheon.WS.471120_TMYx.2009-2023,37.4778,126.625,'09-'23,Incheon.WS,471120,112,2018,2023,2023
인천광역시 동구,37.4738846,126.6432125,KOR_IN_Incheon.WS.471120_TMYx.2009-2023,37.4778,126.625,'09-'23,Incheon.WS,471120,112,2018,2023,2023
인천광역시 미추홀구,37.4635229,126.6505841,KOR_IN_Incheon.WS.471120_TMYx.2009-2023,37.4778,126.625,'09-'23,Incheon.WS,471120,112,2018,2023,2023
인천광역시 연수구,37.4101675,126.67828,KOR_IN_Incheon.WS.471120_TMYx.2009-2023,37.4778,126.625,'09-'23,Incheon.WS,471120,112,2018,2023,2023
인천광역시 남동구,37.447342,126.731488,KOR_IN_Incheon.WS.471120_TMYx.2009-2023,37.4778,126.625,'09-'23,Incheon.WS,471120,112,2018,2023,2023
인천광역시 부평구,37.5070563,126.7218378,KOR_IN_Gimpo.Intl.AP.471100_TMYx.2009-2023,37.558,126.791,'09-'23,Gimpo.Intl.AP,471100,112,2018,2023,2023
인천광역시 계양구,37.5374147,126.7377757,KOR_IN_Gimpo.Intl.AP.471100_TMYx.2009-2023,37.558,126.791,'09-'23,Gimpo.Intl.AP,471100,112,2018,2023,2023
인천광역시 서구,37.545449,126.675994,KOR_IN_Incheon.WS.471120_TMYx.2009-2023,37.4778,126.625,'09-'23,Incheon.WS,471120,112,2018,2023,2023
광주광역시 동구,35.1460818,126.9232859,KOR_KJ_Gwangju.471560_TMYx.2009-2023,35.1731,126.8917,'09-'23,Gwangju,471560,156,2018,2023,2023
광주광역시 서구,35.151969,126.890272,KOR_KJ_Gwangju.471560_TMYx.2009-2023,35.1731,126.8917,'09-'23,Gwangju,471560,156,2018,2023,2023
광주광역시 남구,35.1330039,126.902402,KOR_KJ_Gwangju.471560_TMYx.2009-2023,35.1731,126.8917,'09-'23,Gwangju,471560,156,2018,2023,2023
광주광역시 북구,35.17406,126.911963,KOR_KJ_Gwangju.471560_TMYx.2009-2023,35.1731,126.8917,'09-'23,Gwangju,471560,156,2018,2023,2023
광주광역시 광산구,35.1395085,126.7936834,KOR_KJ_Gwangju.AP.471580_TMYx.2009-2023,35.126,126.809,'09-'23,Gwangju.AP,471580,156,2018,2023,2023
대전광역시 동구,36.312169,127.454884,KOR_TJ_Daejeon.WS.471330_TMYx.2009-2023,36.3719,127.3722,'09-'23,Daejeon.WS,471330,133,2018,2023,2023
대전광역시 중구,36.3256594,127.4215464,KOR_TJ_Daejeon.WS.471330_TMYx.2009-2023,36.3719,127.3722,'09-'23,Daejeon.WS,471330,133,2018,2023,2023
대전광역시 서구,36.355504,127.383844,KOR_TJ_Daejeon.WS.471330_TMYx.2009-2023,36.3719,127.3722,'09-'23,Daejeon.WS,471330,133,2018,2023,2023
대전광역시 유성구,36.3623219,127.3562683,KOR_TJ_Daejeon.WS.471330_TMYx.2009-2023,36.3719,127.3722,'09-'23,Daejeon.WS,471330,133,2018,2023,2023
대전광역시 대덕구,36.346735,127.415502,KOR_TJ_Daejeon.WS.471330_TMYx.2009-2023,36.3719,127.3722,'09-'23,Daejeon.WS,471330,133,2018,2023,2023
울산광역시 중구,35.56945,129.3327,KOR_UL_Ulsan.471520_TMYx.2009-2023,35.593,129.352,'09-'23,Ulsan,471520,152,2018,2023,2023
울산광역시 남구,35.543798,129.330109,KOR_UL_Ulsan.471520_TMYx.2009-2023,35.593,129.352,'09-'23,Ulsan,471520,152,2018,2023,2023
울산광역시 동구,35.504844,129.416632,KOR_UL_Ulsan.471520_TMYx.2009-2023,35.593,129.352,'09-'23,Ulsan,471520,152,2018,2023,2023
울산광역시 북구,35.582709,129.361313,KOR_UL_Ulsan.471520_TMYx.2009-2023,35.593,129.352,'09-'23,Ulsan,471520,152,2018,2023,2023
울산광역시 울주군,35.5220885,129.2422295,KOR_UL_Ulsan.471520_TMYx.2009-2023,35.593,129.352,'09-'23,Ulsan,471520,152,2018,2023,2023
세종특별자치시,36.4803512,127.2894325,KOR_HN_Gongju.692214_TMYx.2009-2023,36.5,127.2,'09-'23,Gongju,692214,239,2018,2023,2023
경기도 수원시,37.263476,127.028646,KOR_KG_Suwon.AP.471200_TMYx.2009-2023,37.239,127.007,'09-'23,Suwon.AP,471200,119,2018,2023,2023
경기도 고양시,37.6583981,126.8319831,KOR_IN_Gimpo.Intl.AP.471100_TMYx.2009-2023,37.558,126.791,'09-'23,Gimpo.Intl.AP,471100,108,2018,2023,2023
경기도 용인시,37.2412522,127.1774916,KOR_KG_Maesanri.471205_TMYx.2009-2023,37.35,127.267,'09-'23,Maesanri,471205,119,2018,2023,2023
경기도 성남시,37.4200267,127.1267772,KOR_KG_Seoul-Seongnam.AP.471110_TMYx.2009-2023,37.446,127.114,'09-'23,Seoul-Seongnam.AP,471110,108,2018,2023,2023
경기도 부천시,37.5035917,126.766,KOR_IN_Gimpo.Intl.AP.471100_TMYx.2009-2023,37.558,126.791,'09-'23,Gimpo.Intl.AP,471100,112,2018,2023,2023
경기도 화성시,37.199565,126.831405,KOR_KG_Suwon.WS.471190_TMYx.2009-2023,37.2722,126.9853,'09-'23,Suwon.WS,471190,119,2018,2023,2023
경기도 안산시,37.3219123,126.8308176,KOR_KG_Suwon.WS.471190_TMYx.2009-2023,37.2722,126.9853,'09-'23,Suwon.WS,471190,119,2018,2023,2023
경기도 남양주시,37.635985,127.216467,KOR_KG_Yangsu.Ri.693594_TMYx.2009-2023,37.6,127.35,'09-'23,Yangsu.Ri,693594,108,2018,2023,2023
경기도 안양시,37.3942905,126.9567534,KOR_KG_Suwon.WS.471190_TMYx.2009-2023,37.2722,126.9853,'09-'23,Suwon.WS,471190,119,2018,2023,2023
경기도 평택시,36.9923537,127.1126947,KOR_KG_Pyeongtaek.AP.471270_TMYx.2009-2023,36.967,127.033,'09-'23,Pyeongtaek.AP,471270,232,2018,2023,2023
경기도 시흥시,37.380177,126.802934,KOR_IN_Incheon.WS.471120_TMYx.2009-2023,37.4778,126.625,'09-'23,Incheon.WS,471120,112,2018,2023,2023
경기도 파주시,37.760186,126.779883,KOR_KG_Paju.470990_TMYx.2009-2023,37.8858,126.7664,'09-'23,Paju,470990,99,2018,2023,2023
경기도 의정부시,37.738083,127.033753,KOR_KG_Gwangjeok.693604_TMYx.2009-2023,37.817,126.983,'09-'23,Gwangjeok,693604,98,2018,2023,2023
경기도 김포시,37.61535,126.715544,KOR_IN_Gimpo.Intl.AP.471100_TMYx.2009-2023,37.558,126.791,'09-'23,Gimpo.Intl.AP,471100,112,2018,2023,2023
경기도 광주시,37.4294306,127.2550476,KOR_KG_Maesanri.471205_TMYx.2009-2023,37.35,127.267,'09-'23,Maesanri,471205,202,2018,2023,2023
경기도 광명시,37.4786176,126.8646504,KOR_IN_Gimpo.Intl.AP.471100_TMYx.2009-2023,37.558,126.791,'09-'23,Gimpo.Intl.AP,471100,108,2018,2023,2023
경기도 군포시,37.361523,126.935338,KOR_KG_Suwon.WS.471190_TMYx.2009-2023,37.2722,126.9853,'09-'23,Suwon.WS,471190,119,2018,2023,2023
경기도 하남시,37.5393014,127.2148742,KOR_KG_Seoul-Seongnam.AP.471110_TMYx.2009-2023,37.446,127.114,'09-'23,Seoul-Seongnam.AP,471110,108,2018,2023,2023
경기도 오산시,37.149887,127.077462,KOR_KG_Osan.AB.471220_TMYx.2009-2023,37.091,127.03,'09-'23,Osan.AB,471220,119,2018,2023,2023
경기도 양주시,37.785329,127.045847,KOR_KG_Gwangjeok.693604_TMYx.2009-2023,37.817,126.983,'09-'23,Gwangjeok,693604,98,2018,2023,2023
경기도 이천시,37.272342,127.435034,KOR_KG_Icheon.470970_TMYx.2009-2023,37.2639,127.4842,'09-'23,Icheon,470970,203,2018,2023,2023
경기도 구리시,37.594266,127.129632,KOR_SO_Seoul.WS.471080_TMYx.2009-2023,37.5714,126.9658,'09-'23,Seoul.WS,471080,108,2018,2023,2023
경기도 안성시,37.0080546,127.2797732,KOR_KG_Pyeongtaek.AP.471270_TMYx.2009-2023,36.967,127.033,'09-'23,Pyeongtaek.AP,471270,232,2018,2023,2023
경기도 포천시,37.894867,127.2002404,KOR_KG_Dongducheon.470980_TMYx.2009-2023,37.902,127.0608,'09-'23,Dongducheon,470980,98,2018,2023,2023
경기도 의왕시,37.3448869,126.9682786,KOR_KG_Suwon.WS.471190_TMYx.2009-2023,37.2722,126.9853,'09-'23,Suwon.WS,471190,119,2018,2023,2023
경기도 양평군,37.491791,127.487597,KOR_KG_Yeoju.Range.471315_TMYx.2009-2023,37.4334,127.6295,'09-'23,Yeoju.Range,471315,202,2018,2023,2023
경기도 여주시,37.3045,127.6029,KOR_KG_Icheon.470970_TMYx.2009-2023,37.2639,127.4842,'09-'23,Icheon,470970,203,2018,2023,2023
경기도 동두천시,37.903662,127.060671,KOR_KG_Dongducheon.470980_TMYx.2009-2023,37.902,127.0608,'09-'23,Dongducheon,470980,98,2018,2023,2023
경기도 과천시,37.4292013,126.987675,KOR_KG_Seoul-Seongnam.AP.471110_TMYx.2009-2023,37.446,127.114,'09-'23,Seoul-Seongnam.AP,471110,108,2018,2023,2023
경기도 가평군,37.831508,127.509541,KOR_KG_Gapyeong.692114_TMYx.2009-2023,37.8306,127.5055,'09-'23,Gapyeong,692114,101,2018,2023,2023
경기도 연천군,38.096738,127.074755,KOR_KW_Cheorwon.470950_TMYx.2009-2023,38.1478,127.3042,'09-'23,Cheorwon,470950,95,2018,2023,2023
강원도 춘천시,37.8813739,127.7300034,KOR_KW_Chuncheon-Camp.Page.AP.471040_TMYx.2009-2023,37.884,127.718,'09-'23,Chuncheon-Camp.Page.AP,471040,101,2018,2023,2023
강원도 원주시,37.3423179,127.9199688,KOR_KW_Wonju.WS.471140_TMYx.2009-2023,37.3375,127.9467,'09-'23,Wonju.WS,471140,114,2018,2023,2023
강원도 강릉시,37.752175,128.875836,KOR_KW_Gangneung.471050_TMYx.2009-2023,37.7514,128.8911,'09-'23,Gangneung,471050,105,2018,2023,2023
강원도 동해시,37.5247583,129.1142625,KOR_KW_Donghae.Radar.471060_TMYx.2009-2023,37.5069,129.1244,'09-'23,Donghae.Radar,471060,106,2018,2023,2023
강원도 태백시,37.164132,128.985735,KOR_KW_Taebaek.Provincial.Park.471223_TMYx.2009-2023,37.1212,128.9079,'09-'23,Taebaek.Provincial.Park,471223,216,2018,2023,2023
강원도 속초시,38.207169,128.59184,KOR_KW_Sokcho.470900_TMYx.2009-2023,38.2508,128.5647,'09-'23,Sokcho,470900,90,2018,2023,2023
강원도 삼척시,37.4499354,129.1651479,KOR_KW_Donghae.Radar.471060_TMYx.2009-2023,37.5069,129.1244,'09-'23,Donghae.Radar,471060,106,2018,2023,2023
강원도 홍천군,37.697207,127.888518,KOR_KW_Hongchon.693624_TMYx.2009-2023,37.683,127.883,'09-'23,Hongchon,693624,212,2018,2023,2023
강원도 횡성군,37.491803,127.985022,KOR_KW_Wonju.WS.471140_TMYx.2009-2023,37.3375,127.9467,'09-'23,Wonju.WS,471140,114,2018,2023,2023
강원도 영월군,37.183774,128.46185,KOR_KW_Yeongwol.WS.471210_TMYx.2009-2023,37.1814,128.4575,'09-'23,Yeongwol.WS,471210,121,2018,2023,2023
강원도 평창군,37.37077,128.390193,KOR_KW_Yeongwol.WS.471210_TMYx.2009-2023,37.1814,128.4575,'09-'23,Yeongwol.WS,471210,121,2018,2023,2023
강원도 정선군,37.380609,128.660871,KOR_KW_Yeongwol.WS.471210_TMYx.2009-2023,37.1814,128.4575,'09-'23,Yeongwol.WS,471210,217,2018,2023,2023
강원도 철원군,38.146861,127.313472,KOR_KW_Cheorwon.470950_TMYx.2009-2023,38.1478,127.3042,'09-'23,Cheorwon,470950,95,2018,2023,2023
강원도 화천군,38.106181,127.708216,KOR_KW_Sachang.Ri.693614_TMYx.2009-2023,38.067,127.517,'09-'23,Sachang.Ri,693614,93,2018,2023,2023
강원도 양구군,38.109992,127.99,KOR_KW_Yanggu.692094_TMYx.2009-2023,38.117,128.033,'09-'23,Yanggu,692094,211,2018,2023,2023
강원도 인제군,38.069732,128.170352,KOR_KW_Yanggu.692094_TMYx.2009-2023,38.117,128.033,'09-'23,Yanggu,692094,211,2018,2023,2023
강원도 고성군,38.3806154,128.4678625,KOR_KW_Geojin.470800_TMYx.2009-2023,38.45,128.45,'09-'23,Geojin,470800,90,2018,2023,2023
강원도 양양군,38.075493,128.619145,KOR_KW_Yangyang.Intl.AP.470920_TMYx.2009-2023,38.061,128.669,'09-'23,Yangyang.Intl.AP,470920,90,2018,2023,2023
충청북도 청주시,36.6424987,127.488975,KOR_HB_Cheongju.WS.471310_TMYx.2009-2023,36.6392,127.4406,'09-'23,Cheongju.WS,471310,131,2018,2023,2023
충청북도 충주시,36.991105,127.926012,KOR_HB_Jungwon.AB.471250_TMYx.2009-2023,37.0167,127.8833,'09-'23,Jungwon.AB,471250,127,2018,2023,2023
충청북도 제천시,37.132646,128.191037,KOR_KW_Yeongwol.WS.471210_TMYx.2009-2023,37.1814,128.4575,'09-'23,Yeongwol.WS,471210,221,2018,2023,2023
충청북도 보은군,36.489455,127.729485,KOR_HB_Seongmu.AB.471240_TMYx.2009-2023,36.568,127.5,'09-'23,Seongmu.AB,471240,226,2018,2023,2023
충청북도 옥천군,36.3064369,127.5714191,KOR_TJ_Daejeon.WS.471330_TMYx.2009-2023,36.3719,127.3722,'09-'23,Daejeon.WS,471330,133,2018,2023,2023
충청북도 영동군,36.175047,127.783423,KOR_HB_Chupungnyeong.471350_TMYx.2009-2023,36.2203,127.9944,'09-'23,Chupungnyeong,471350,135,2018,2023,2023
충청북도 증평군,36.785345,127.581507,KOR_HB_Cheongju.Intl.AP.471280_TMYx.2009-2023,36.7167,127.5,'09-'23,Cheongju.Intl.AP,471280,131,2018,2023,2023
충청북도 진천군,36.85542,127.435602,KOR_HN_Cheonan.471450_TMYx.2009-2023,36.7625,127.2928,'09-'23,Cheonan,471450,232,2018,2023,2023
충청북도 괴산군,36.815381,127.786704,KOR_HB_Jungwon.AB.471250_TMYx.2009-2023,37.0167,127.8833,'09-'23,Jungwon.AB,471250,127,2018,2023,2023
충청북도 음성군,36.940282,127.690487,KOR_HB_Jungwon.AB.471250_TMYx.2009-2023,37.0167,127.8833,'09-'23,Jungwon.AB,471250,127,2018,2023,2023
충청북도 단양군,36.984539,128.365589,KOR_KW_Yeongwol.WS.471210_TMYx.2009-2023,37.1814,128.4575,'09-'23,Yeongwol.WS,471210,272,2018,2023,2023
충청남도 천안시,36.815147,127.113892,KOR_HN_Cheonan.471450_TMYx.2009-2023,36.7625,127.2928,'09-'23,Cheonan,471450,232,2018,2023,2023
충청남도 공주시,36.446556,127.11904,KOR_HN_Gongju.692214_TMYx.2009-2023,36.5,127.2,'09-'23,Gongju,692214,239,2018,2023,2023
충청남도 보령시,36.333452,126.612803,KOR_HN_Boryeong.471500_TMYx.2009-2023,36.3272,126.5575,'09-'23,Boryeong,471500,235,2018,2023,2023
충청남도 아산시,36.790013,127.002474,KOR_KG_Pyeongtaek.AP.471270_TMYx.2009-2023,36.967,127.033,'09-'23,Pyeongtaek.AP,471270,232,2018,2023,2023
충청남도 서산시,36.7849216,126.4502766,KOR_HN_Seosan.WS.471290_TMYx.2009-2023,36.7767,126.4939,'09-'23,Seosan.WS,471290,129,2018,2023,2023
충청남도 논산시,36.1872399,127.0986227,KOR_TJ_Daejeon.WS.471330_TMYx.2009-2023,36.3719,127.3722,'09-'23,Daejeon.WS,471330,236,2018,2023,2023
충청남도 계룡시,36.274554,127.248633,KOR_TJ_Daejeon.WS.471330_TMYx.2009-2023,36.3719,127.3722,'09-'23,Daejeon.WS,471330,133,2018,2023,2023
충청남도 당진시,36.8899744,126.6459003,KOR_HN_Seosan.WS.471290_TMYx.2009-2023,36.7767,126.4939,'09-'23,Seosan.WS,471290,129,2018,2023,2023
충청남도 금산군,36.108857,127.488213,KOR_HN_Geumsan.692244_TMYx.2009-2023,36.1052,127.4828,'09-'23,Geumsan,692244,238,2018,2023,2023
충청남도 부여군,36.275658,126.909775,KOR_HN_Boryeong.471500_TMYx.2009-2023,36.3272,126.5575,'09-'23,Boryeong,471500,236,2018,2023,2023
충청남도 서천군,36.080286,126.6917418,KOR_CB_Gunsan.471400_TMYx.2009-2023,36.0053,126.7614,'09-'23,Gunsan,471400,140,2018,2023,2023
충청남도 청양군,36.459151,126.802238,KOR_HN_Boryeong.471500_TMYx.2009-2023,36.3272,126.5575,'09-'23,Boryeong,471500,236,2018,2023,2023
충청남도 홍성군,36.601324,126.660775,KOR_HN_Seosan.WS.471290_TMYx.2009-2023,36.7767,126.4939,'09-'23,Seosan.WS,471290,177,2018,2023,2023
충청남도 예산군,36.6808995,126.8447382,KOR_HN_Seosan.WS.471290_TMYx.2009-2023,36.7767,126.4939,'09-'23,Seosan.WS,471290,177,2018,2023,2023
충청남도 태안군,36.74561,126.297913,KOR_HN_Seosan.WS.471290_TMYx.2009-2023,36.7767,126.4939,'09-'23,Seosan.WS,471290,129,2018,2023,2023
전라북도 전주시,35.824171,127.14805,KOR_CB_Jeonju.471460_TMYx.2009-2023,35.8408,127.1172,'09-'23,Jeonju,471460,146,2018,2023,2023
전라북도 군산시,35.9676263,126.736875,KOR_CB_Gunsan.471400_TMYx.2009-2023,36.0053,126.7614,'09-'23,Gunsan,471400,140,2018,2023,2023
전라북도 익산시,35.948295,126.957786,KOR_CB_Jeonju.471460_TMYx.2009-2023,35.8408,127.1172,'09-'23,Jeonju,471460,146,2018,2023,2023
전라북도 정읍시,35.569867,126.856038,KOR_CB_Jeongeup.471710_TMYx.2009-2023,35.563,126.8392,'09-'23,Jeongeup,471710,245,2018,2023,2023
